====== H (10) into Layer 1                      =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : SiO2 - quartz (ICRU-245)
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 6.975E22 atoms/cm3 = 2.32 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 53.2 Mass Percent
  Layer # 1- Si = 33.3 Atomic Percent = 46.7 Mass Percent
====================================================================
 Total Ions calculated =9999.09
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  1598.20E-06  1598.20E-06
400010.E-03  1622.29E-06  1622.29E-06
600010.E-03  1565.61E-06  1567.11E-06
800010.E-03  1523.55E-06  1524.55E-06
100001.E-02  1548.38E-06  1550.88E-06
120001.E-02  1566.57E-06  1566.57E-06
140001.E-02  1577.26E-06  1578.76E-06
160001.E-02  1600.64E-06  1602.64E-06
180001.E-02  1619.50E-06  1619.50E-06
200001.E-02  1675.88E-06  1675.88E-06
220001.E-02  1693.70E-06  1699.71E-06
240001.E-02  1719.54E-06  1724.54E-06
260001.E-02  1760.21E-06  1766.21E-06
280001.E-02  1747.43E-06  1754.44E-06
300001.E-02  1731.77E-06  1739.27E-06
320001.E-02  1717.74E-06  1731.25E-06
340001.E-02  1759.23E-06  1767.73E-06
360001.E-02  1773.28E-06  1780.78E-06
380001.E-02  1764.31E-06  1775.31E-06
400001.E-02  1730.06E-06  1746.06E-06
420001.E-02  1691.44E-06  1706.94E-06
440001.E-02  1691.33E-06  1700.83E-06
460001.E-02  1662.07E-06  1672.57E-06
480001.E-02  1621.92E-06  1634.42E-06
500001.E-02  1526.27E-06  1540.77E-06
520001.E-02  1247.69E-06  1259.70E-06
540001.E-02  1247.62E-06  1266.62E-06
560001.E-02  1242.40E-06  1258.40E-06
580001.E-02  1235.60E-06  1253.60E-06
600001.E-02  1233.09E-06  1240.09E-06
620001.E-02  1240.64E-06  1258.65E-06
640001.E-02  1248.89E-06  1264.89E-06
660001.E-02  1262.37E-06  1279.37E-06
680001.E-02  1280.34E-06  1291.34E-06
700001.E-02  1248.73E-06  1272.23E-06
720001.E-02  1272.99E-06  1288.50E-06
740001.E-02  1294.19E-06  1320.19E-06
760001.E-02  1358.04E-06  1378.54E-06
780001.E-02  1403.13E-06  1417.63E-06
800001.E-02  1373.48E-06  1402.98E-06
820001.E-02  1391.89E-06  1410.89E-06
840001.E-02  1907.14E-06  1934.15E-06
860001.E-02  2174.21E-06  2198.72E-06
880001.E-02  2189.06E-06  2220.07E-06
900001.E-02  2197.09E-06  2219.60E-06
920001.E-02  2164.54E-06  2193.54E-06
940001.E-02  2107.89E-06  2130.89E-06
960001.E-02  2111.66E-06  2139.17E-06
980001.E-02  2102.69E-06  2132.69E-06
100000.E-01  2042.59E-06  2071.10E-06
102000.E-01  1964.66E-06  1991.66E-06
104000.E-01  1968.69E-06  2003.19E-06
106000.E-01  2048.00E-06  2072.50E-06
108000.E-01  2016.82E-06  2053.82E-06
110000.E-01  1951.34E-06  1989.85E-06
112000.E-01  1920.91E-06  1948.91E-06
114000.E-01  1932.51E-06  1950.51E-06
116000.E-01  1989.51E-06  2001.51E-06
118000.E-01  2009.07E-06  2020.57E-06
120000.E-01  1985.42E-06  1999.42E-06
122000.E-01  1976.71E-06  1987.21E-06
124000.E-01  1953.16E-06  1968.66E-06
126000.E-01  1968.61E-06  1983.11E-06
128000.E-01  1998.28E-06  2016.79E-06
130000.E-01  2024.57E-06  2037.08E-06
132000.E-01  2025.66E-06  2039.66E-06
134000.E-01  2042.43E-06  2064.93E-06
136000.E-01  2058.01E-06  2079.01E-06
138000.E-01  2166.64E-06  2186.14E-06
140000.E-01  2098.87E-06  2126.87E-06
142000.E-01  2052.72E-06  2080.22E-06
144000.E-01  2027.25E-06  2061.25E-06
146000.E-01  2146.41E-06  2179.41E-06
148000.E-01  2175.70E-06  2206.70E-06
150000.E-01  2187.51E-06  2224.02E-06
152000.E-01  2205.55E-06  2238.56E-06
154000.E-01  2179.14E-06  2201.65E-06
156000.E-01  2047.89E-06  2077.39E-06
158000.E-01  3481.31E-06  3508.81E-06
160000.E-01  4785.17E-06  4822.68E-06
162000.E-01  3692.01E-06  3723.01E-06
164000.E-01  2020.81E-06  2059.32E-06
166000.E-01  2075.07E-06  2115.07E-06
168000.E-01  2264.22E-06  2313.22E-06
170000.E-01  2184.66E-06  2217.17E-06
172000.E-01  2036.27E-06  2078.28E-06
174000.E-01  1912.33E-06  1943.83E-06
176000.E-01  1919.24E-06  1952.75E-06
178000.E-01  1854.49E-06  1889.49E-06
180000.E-01  1775.37E-06  1816.88E-06
182000.E-01  1748.00E-06  1802.01E-06
184000.E-01  1901.74E-06  1947.25E-06
186000.E-01  1927.95E-06  1977.45E-06
188000.E-01  1887.01E-06  1928.02E-06
190000.E-01  1974.73E-06  2030.24E-06
192000.E-01  1504.87E-06  1557.88E-06
194000.E-01  8716.57E-07  9261.62E-07
196000.E-01  6986.79E-07  7621.84E-07
198000.E-01  9206.48E-07  9631.52E-07
200000.E-01  2667.15E-06  2725.65E-06
