====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : SiO2 - quartz (ICRU-245)
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 6.975E22 atoms/cm3 = 2.32 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 53.2 Mass Percent
  Layer # 1- Si = 33.3 Atomic Percent = 46.7 Mass Percent
====================================================================
 Total Ions calculated =009999.09
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  4400.94E-03  1244.70E-09
400010.E-03  4402.68E-03  4157.53E-09
600010.E-03  4402.45E-03  4236.81E-08
800010.E-03  4401.00E-03  1991.31E-08
100001.E-02  4399.19E-03  2007.00E-08
120001.E-02  4400.17E-03  9539.41E-09
140001.E-02  4399.22E-03  1376.76E-08
160001.E-02  4396.33E-03  1519.22E-08
180001.E-02  4396.48E-03  6329.08E-09
200001.E-02  4398.15E-03  7678.61E-09
220001.E-02  4398.60E-03  2785.96E-08
240001.E-02  4398.19E-03  3795.56E-08
260001.E-02  4396.44E-03  3848.41E-08
280001.E-02  4395.83E-03  1252.34E-07
300001.E-02  4397.12E-03  3144.24E-08
320001.E-02  4398.83E-03  7180.85E-08
340001.E-02  4400.39E-03  8903.27E-08
360001.E-02  4402.66E-03  7427.25E-08
380001.E-02  4403.74E-03  1492.27E-07
400001.E-02  4403.54E-03  2655.30E-07
420001.E-02  4403.23E-03  2222.70E-07
440001.E-02  4404.43E-03  2234.93E-07
460001.E-02  4404.80E-03  2552.57E-07
480001.E-02  4407.81E-03  5572.61E-07
500001.E-02  4409.47E-03  3343.10E-06
520001.E-02  4410.02E-03  1610.81E-07
540001.E-02  4407.29E-03  1063.51E-07
560001.E-02  4409.05E-03  2055.79E-07
580001.E-02  4411.98E-03  3805.10E-07
600001.E-02  4415.46E-03  7504.44E-08
620001.E-02  4419.59E-03  1524.95E-07
640001.E-02  4422.34E-03  2222.42E-07
660001.E-02  4425.13E-03  1261.25E-07
680001.E-02  4427.44E-03  8286.47E-08
700001.E-02  4429.45E-03  4009.75E-07
720001.E-02  4429.17E-03  1284.52E-07
740001.E-02  4431.66E-03  5700.85E-07
760001.E-02  4436.05E-03  1520.16E-07
780001.E-02  4437.79E-03  1184.55E-07
800001.E-02  4441.47E-03  3378.96E-07
820001.E-02  4446.52E-03  1454.10E-07
840001.E-02  4447.21E-03  2364.70E-07
860001.E-02  4448.70E-03  2234.51E-07
880001.E-02  4451.42E-03  1939.57E-07
900001.E-02  4454.66E-03  1882.51E-07
920001.E-02  4461.25E-03  7080.50E-07
940001.E-02  4461.56E-03  8049.30E-07
960001.E-02  4464.14E-03  2162.86E-07
980001.E-02  4463.71E-03  3008.45E-07
100000.E-01  4465.72E-03  6394.31E-07
102000.E-01  4469.78E-03  2943.06E-07
104000.E-01  4476.48E-03  3569.70E-07
106000.E-01  4478.73E-03  4078.77E-07
108000.E-01  4484.23E-03  5113.62E-07
110000.E-01  4490.45E-03  4343.40E-07
112000.E-01  4492.68E-03  4688.69E-07
114000.E-01  4494.47E-03  1199.52E-07
116000.E-01  4496.06E-03  9115.69E-08
118000.E-01  4495.34E-03  8301.52E-08
120000.E-01  4494.95E-03  7913.99E-07
122000.E-01  4499.32E-03  3435.64E-07
124000.E-01  4501.14E-03  1110.56E-07
126000.E-01  4505.90E-03  1872.51E-07
128000.E-01  4502.15E-03  1206.93E-07
130000.E-01  4502.94E-03  1086.52E-07
132000.E-01  4504.18E-03  6751.82E-07
134000.E-01  4502.96E-03  3442.41E-07
136000.E-01  4502.70E-03  4112.67E-07
138000.E-01  4511.94E-03  2365.33E-07
140000.E-01  4510.61E-03  4998.14E-07
142000.E-01  4513.04E-03  1537.63E-07
144000.E-01  4514.12E-03  4546.90E-07
146000.E-01  4514.88E-03  3144.70E-07
148000.E-01  4520.88E-03  1793.31E-07
150000.E-01  4525.48E-03  2854.17E-07
152000.E-01  4531.02E-03  5277.45E-07
154000.E-01  4524.57E-03  3701.47E-07
156000.E-01  4528.86E-03  2803.27E-07
158000.E-01  4532.42E-03  4977.34E-07
160000.E-01  4543.16E-03  5480.95E-07
162000.E-01  4560.01E-03  2799.38E-06
164000.E-01  4563.91E-03  3930.22E-07
166000.E-01  4569.79E-03  4478.39E-07
168000.E-01  4571.52E-03  1385.94E-06
170000.E-01  4572.66E-03  4227.87E-07
172000.E-01  4577.50E-03  8436.07E-07
174000.E-01  4583.26E-03  2993.56E-07
176000.E-01  4580.53E-03  5374.75E-07
178000.E-01  4594.43E-03  4121.39E-07
180000.E-01  4580.40E-03  3332.00E-07
182000.E-01  4583.68E-03  6572.62E-07
184000.E-01  4615.95E-03  5040.69E-07
186000.E-01  4624.86E-03  6338.93E-07
188000.E-01  4615.56E-03  4076.01E-07
190000.E-01  4633.85E-03  6828.40E-07
192000.E-01  4636.48E-03  2244.80E-05
194000.E-01  4636.59E-03  1468.98E-06
196000.E-01  4630.56E-03  1027.89E-06
198000.E-01  4660.42E-03  3733.35E-07
200000.E-01  4648.13E-03  1118.08E-06
