====== H (10) into Layer 1                      =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.=  H(33.3 MeV) ==> SiO2 - quartz (ICRU-245)(  50 um) ========
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 33377.198060133815 keV
 Total Ions calculated =99.05
============= TARGET MATERIAL ======================================
Layer  1 : SiO2 - quartz (ICRU-245)
Layer Width = 50000.E+01 AAA ;
  Layer # 1- Density = 6.975E22 atoms/cm3 = 2.32 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 53.2 Mass Percent
  Layer # 1- Si = 33.3 Atomic Percent = 46.7 Mass Percent
====================================================================
 Ion Average Range = 000000.E+00 A   Straggling = 000000.E+00 A
 Ion Lateral Range = 000000.E+00 A   Straggling = 000000.E+00 A
 Ion Radial  Range = 000000.E+00 A   Straggling = 000000.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9000001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9500001.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000000.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
