====== H (10) into Layer 1                      =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : SiO2 - quartz (ICRU-245)
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 6.975E22 atoms/cm3 = 2.32 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 53.2 Mass Percent
  Layer # 1- Si = 33.3 Atomic Percent = 46.7 Mass Percent
====================================================================
 Total Ions calculated =9999.09
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  630517.E-09  236873.E-10
400010.E-03  617579.E-09  426155.E-10
600010.E-03  606799.E-09  192260.E-09
800010.E-03  603310.E-09  119667.E-09
100001.E-02  600057.E-09  148322.E-09
120001.E-02  589365.E-09  103371.E-09
140001.E-02  584288.E-09  124253.E-09
160001.E-02  582434.E-09  130006.E-09
180001.E-02  580694.E-09  897678.E-10
200001.E-02  580407.E-09  104660.E-09
220001.E-02  580932.E-09  222830.E-09
240001.E-02  575300.E-09  265718.E-09
260001.E-02  572842.E-09  292627.E-09
280001.E-02  570890.E-09  618794.E-09
300001.E-02  567318.E-09  257495.E-09
320001.E-02  566209.E-09  472847.E-09
340001.E-02  562383.E-09  519482.E-09
360001.E-02  558427.E-09  453978.E-09
380001.E-02  555227.E-09  765341.E-09
400001.E-02  550484.E-09  109359.E-08
420001.E-02  547691.E-09  103667.E-08
440001.E-02  543182.E-09  988576.E-09
460001.E-02  538765.E-09  111675.E-08
480001.E-02  534727.E-09  174233.E-08
500001.E-02  533392.E-09  597133.E-08
520001.E-02  531204.E-09  816573.E-09
540001.E-02  528333.E-09  700511.E-09
560001.E-02  526150.E-09  101142.E-08
580001.E-02  525899.E-09  154353.E-08
600001.E-02  526972.E-09  545214.E-09
620001.E-02  525892.E-09  884983.E-09
640001.E-02  525348.E-09  107809.E-08
660001.E-02  527185.E-09  778440.E-09
680001.E-02  528104.E-09  573810.E-09
700001.E-02  527377.E-09  173702.E-08
720001.E-02  525310.E-09  821742.E-09
740001.E-02  526362.E-09  201605.E-08
760001.E-02  527805.E-09  947990.E-09
780001.E-02  526257.E-09  827412.E-09
800001.E-02  528522.E-09  163536.E-08
820001.E-02  524809.E-09  948208.E-09
840001.E-02  524712.E-09  131384.E-08
860001.E-02  523035.E-09  123007.E-08
880001.E-02  519615.E-09  114886.E-08
900001.E-02  515964.E-09  116631.E-08
920001.E-02  512244.E-09  248292.E-08
940001.E-02  515179.E-09  288197.E-08
960001.E-02  524964.E-09  124374.E-08
980001.E-02  531630.E-09  165881.E-08
100000.E-01  538651.E-09  240393.E-08
102000.E-01  545181.E-09  154441.E-08
104000.E-01  551077.E-09  180088.E-08
106000.E-01  560880.E-09  184879.E-08
108000.E-01  566805.E-09  232402.E-08
110000.E-01  572651.E-09  208076.E-08
112000.E-01  581437.E-09  208415.E-08
114000.E-01  586738.E-09  775432.E-09
116000.E-01  584991.E-09  623318.E-09
118000.E-01  581623.E-09  595085.E-09
120000.E-01  584205.E-09  231611.E-08
122000.E-01  578492.E-09  136229.E-08
124000.E-01  576007.E-09  737868.E-09
126000.E-01  575237.E-09  103840.E-08
128000.E-01  580052.E-09  814385.E-09
130000.E-01  584029.E-09  758429.E-09
132000.E-01  594516.E-09  210096.E-08
134000.E-01  601290.E-09  153049.E-08
136000.E-01  602512.E-09  183668.E-08
138000.E-01  606782.E-09  131541.E-08
140000.E-01  616193.E-09  218438.E-08
142000.E-01  626789.E-09  104945.E-08
144000.E-01  637437.E-09  220308.E-08
146000.E-01  643206.E-09  169758.E-08
148000.E-01  656088.E-09  123665.E-08
150000.E-01  660653.E-09  168046.E-08
152000.E-01  661946.E-09  247417.E-08
154000.E-01  658366.E-09  184298.E-08
156000.E-01  664481.E-09  166190.E-08
158000.E-01  681696.E-09  230655.E-08
160000.E-01  699593.E-09  244196.E-08
162000.E-01  705581.E-09  639829.E-08
164000.E-01  695569.E-09  215633.E-08
166000.E-01  719121.E-09  239360.E-08
168000.E-01  719432.E-09  481087.E-08
170000.E-01  739370.E-09  231850.E-08
172000.E-01  758833.E-09  364654.E-08
174000.E-01  770314.E-09  187495.E-08
176000.E-01  775657.E-09  263602.E-08
178000.E-01  773914.E-09  229916.E-08
180000.E-01  790199.E-09  216360.E-08
182000.E-01  826365.E-09  339400.E-08
184000.E-01  864676.E-09  289653.E-08
186000.E-01  883322.E-09  325452.E-08
188000.E-01  892692.E-09  259921.E-08
190000.E-01  955642.E-09  374658.E-08
192000.E-01  956615.E-09  199344.E-07
194000.E-01  103828.E-08  550232.E-08
196000.E-01  105822.E-08  490364.E-08
198000.E-01  113799.E-08  296432.E-08
200000.E-01  117134.E-08  544345.E-08
