============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(3.69 MeV) ==> SiO2 - quartz (ICRU-245)(  1 um) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .3508579E+07   1000004E-02  .9218E+05  .1700E+03   .1039609  .9944987  .0128278
T    2  1 .3552103E+07   1000002E-02  .8387E+05 -.3691E+03   .1155568  .9932517 -.0098864
T    3  1 .3550748E+07   1000006E-02  .8840E+05  .1069E+03   .1102411  .9938908  .0052954
T    4  1 .3528758E+07   1000006E-02  .8593E+05 -.2579E+03   .1164076  .9931754 -.0072001
T    5  1 .3502973E+07   1000003E-02  .8953E+05 -.3088E+03   .1133789  .9935378 -.0052856
T    6  1 .3523024E+07   1000018E-02  .8651E+05  .4405E+02   .1090939  .9940286  .0023599
T    7  1 .3530802E+07   1000025E-02  .7963E+05 -.1057E+03   .1283188  .9917301  .0023913
T    8  1 .3521227E+07   1000009E-02  .9050E+05 -.4970E+03   .1031909  .9945295 -.0162103
T    9  1 .3512347E+07   1000021E-02  .9056E+05 -.3790E+03   .1047215  .9944400 -.0110677
T   10  1 .3523190E+07   1000004E-02  .8611E+05 -.3200E+03   .1135107  .9934198 -.0152474
T   11  1 .3524329E+07   1000016E-02  .9408E+05  .3649E+03   .1085378  .9940708  .0065426
T   12  1 .3533344E+07   1000005E-02  .8635E+05  .7007E+02   .1204219  .9927206  .0020899
T   13  1 .3515224E+07   1000022E-02  .8701E+05  .1368E+02   .1162651  .9932182  .0001004
T   14  1 .3506776E+07   1000005E-02  .8902E+05 -.2657E+03   .1117867  .9936914 -.0090033
T   15  1 .3520011E+07   1000021E-02  .8906E+05  .2851E+02   .1118433  .9937208  .0031638
T   16  1 .3537274E+07   1000014E-02  .8536E+05  .2139E+03   .1274999  .9918122  .0072354
T   17  1 .3515669E+07   1000004E-02  .8931E+05  .4146E+02   .1140435  .9934601 -.0055785
T   18  1 .3511022E+07   1000017E-02  .8668E+05  .3531E+03   .1132669  .9935472  .0058854
T   19  1 .3528474E+07   1000001E-02  .9132E+05 -.4433E+03   .1034456  .9946245 -.0045931
T   20  1 .3513659E+07   1000004E-02  .8562E+05  .8443E+02   .1175797  .9930591  .0029440
T   21  1 .3526914E+07   1000003E-02  .9014E+05 -.4653E+03   .1047544  .9944571 -.0090311
T   22  1 .3529889E+07   1000005E-02  .8313E+05  .2738E+03   .1279170  .9917576  .0073494
T   23  1 .3500586E+07   1000008E-02  .8785E+05  .2400E+03   .1141702  .9934609  .0007928
T   24  1 .3566273E+07   1000006E-02  .6373E+05  .3848E+04   .2091734  .9701527  .1226794
T   25  1 .3519204E+07   1000025E-02  .9213E+05  .6503E+03   .1102848  .9937524  .0171323
T   26  1 .3516015E+07   1000024E-02  .8870E+05  .4739E+03   .1094204  .9939622  .0081495
T   27  1 .3491459E+07   1000012E-02  .9302E+05  .1095E+04   .0965433  .9952070  .0155682
T   28  1 .3532599E+07   1000007E-02  .8770E+05 -.1619E+02   .1178153  .9929963  .0088262
T   29  1 .3519206E+07   1000010E-02  .8973E+05 -.2141E+03   .1002076  .9949229 -.0093198
T   30  1 .3541653E+07   1000023E-02  .8860E+05  .1076E+03   .1130679  .9935833 -.0028202
T   31  1 .3528275E+07   1000004E-02  .8634E+05  .7676E+02   .1232156  .9923779 -.0020211
T   32  1 .3541523E+07   1000025E-02  .8665E+05  .1992E+03   .1086315  .9940821  .0000215
T   33  1 .3518001E+07   1000005E-02  .8570E+05  .2060E+03   .1121320  .9936897 -.0026720
T   34  1 .3521056E+07   1000014E-02  .9138E+05  .5448E+02   .1127886  .9936188 -.0006777
T   35  1 .3527322E+07   1000019E-02  .8617E+05  .1509E+03   .1174284  .9930803 -.0014142
T   36  1 .3532444E+07   1000030E-02  .8377E+05  .2854E+03   .1225184  .9924241  .0091486
T   37  1 .3509246E+07   1000017E-02  .9252E+05  .8454E+02   .0886883  .9956824 -.0274041
T   38  1 .3519487E+07   1000006E-02  .8652E+05 -.3179E+02   .1185852  .9929223 -.0065510
T   39  1 .3519604E+07   1000007E-02  .9009E+05 -.1075E+03   .1098196  .9939515 -.0000403
T   40  1 .3532381E+07   1000001E-02  .8894E+05  .1807E+03   .1084312  .9940881  .0056097
T   41  1 .3530588E+07   1000023E-02  .8444E+05 -.5245E+02   .1124086  .9936604 -.0017943
T   42  1 .3506243E+07   1000002E-02  .8914E+05 -.1083E+03   .1066307  .9942683  .0077702
T   43  1 .3498343E+07   1000002E-02  .8788E+05  .1634E+03   .1112554  .9937693  .0067010
T   44  1 .3533036E+07   1000008E-02  .8501E+05  .4021E+03   .1134254  .9934286  .0153058
T   45  1 .3507181E+07   1000002E-02  .9455E+05 -.2691E+03   .0771027  .9970174  .0033878
T   46  1 .3498496E+07   1000006E-02  .9875E+05 -.1080E+04   .0974086  .9951197 -.0157608
T   47  1 .3540376E+07   1000003E-02  .9036E+05 -.1375E+03   .1124294  .9936537 -.0034685
T   48  1 .3532023E+07   1000025E-02  .8304E+05 -.2133E+03   .1202486  .9927427 -.0014844
T   49  1 .3513793E+07   1000008E-02  .8753E+05 -.1551E+03   .1093101  .9939802 -.0073884
T   50  1 .3499848E+07   1000021E-02  .9763E+05  .9163E+03   .0996009  .9949374  .0133845
T   51  1 .3532789E+07   1000005E-02  .8711E+05  .9072E+03   .1140848  .9933561  .0151132
T   52  1 .3538899E+07   1000015E-02  .9192E+05  .2049E+03   .1049703  .9944649  .0045624
T   53  1 .3524646E+07   1000020E-02  .8930E+05 -.4405E+00   .1055978  .9944031  .0034161
T   54  1 .3506725E+07   1000007E-02  .9219E+05  .2443E+03   .1092579  .9939884  .0070588
T   55  1 .3537598E+07   1000011E-02  .9175E+05 -.6846E+02   .1058796  .9943752 -.0027303
T   56  1 .3537783E+07   1000018E-02  .8790E+05  .1259E+03   .1222648  .9924812  .0056984
T   57  1 .3518764E+07   1000022E-02  .8751E+05  .2241E+03   .1142281  .9934484  .0034949
T   58  1 .3517202E+07   1000002E-02  .9393E+05  .1853E+02   .0989203  .9950938 -.0017702
T   59  1 .3512560E+07   1000019E-02  .9050E+05 -.6052E+03   .1049942  .9940708 -.0282751
T   60  1 .3514743E+07   1000015E-02  .8529E+05  .7640E+02   .1163854  .9932018  .0021389
T   61  1 .3547360E+07   1000020E-02  .8991E+05 -.1294E+02   .1110144  .9938187  .0002957
T   62  1 .3504389E+07   1000021E-02  .9210E+05 -.2388E+03   .1081783  .9941191  .0049691
T   63  1 .3536324E+07   1000024E-02  .8841E+05  .4796E+03   .1098648  .9937120  .0215929
T   64  1 .3530455E+07   1000019E-02  .9384E+05  .2260E+03   .1021584  .9947125  .0105228
T   65  1 .3540137E+07   1000002E-02  .8383E+05  .1916E+03   .1188917  .9928539  .0102876
T   66  1 .3522939E+07   1000025E-02  .9147E+05 -.1586E+03   .1215595  .9924737 -.0148080
T   67  1 .3523999E+07   1000013E-02  .8905E+05  .5628E+02   .1129449  .9936012 -.0002099
T   68  1 .3566248E+07   1000017E-02  .8344E+05  .9750E+02   .1229081  .9924124 -.0033459
T   69  1 .3551429E+07   1000013E-02  .8243E+05 -.5197E+03   .1243540  .9920998 -.0165566
T   70  1 .3517633E+07   1000016E-02  .9324E+05  .9158E+03   .1020251  .9946252  .0176521
T   71  1 .3510448E+07   1000007E-02  .9271E+05  .2863E+03   .1089333  .9939944  .0104262
T   72  1 .3525333E+07   1000023E-02  .8675E+05  .9981E+02   .1146997  .9933932 -.0037277
T   73  1 .3517906E+07   1000005E-02  .8970E+05 -.2081E+03   .1081038  .9940741 -.0114169
T   74  1 .3501932E+07   1000012E-02  .8918E+05 -.5084E+03   .1069747  .9941705 -.0134685
T   75  1 .3520034E+07   1000009E-02  .9572E+05 -.3356E+03   .0906566  .9958822  .0001358
T   76  1 .3512092E+07   1000010E-02  .9130E+05 -.3533E+03   .1124927  .9935298 -.0156190
T   77  1 .3515603E+07   1000001E-02  .9079E+05  .1161E+03   .1035730  .9946023  .0062407
T   78  1 .3531502E+07   1000026E-02  .8575E+05  .7850E+03   .1248926  .9921387  .0079087
T   79  1 .3528094E+07   1000020E-02  .8907E+05 -.9551E+02   .1094171  .9939951 -.0012674
