============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .9103721E+06   2000137E-02 -.1012E+03  .8602E+02   .9998220 -.0154120  .0108794
T    2  1 .9182759E+06   2000091E-02  .1595E+02 -.6197E+02   .9999205  .0075402 -.0101067
T    3  1 .9115415E+06   2000242E-02 -.1896E+03  .1008E+03   .9997987 -.0198953  .0025899
T    4  1 .9222334E+06   2000149E-02 -.1196E+03 -.1477E+03   .9998556 -.0101356 -.0136377
T    5  1 .9092330E+06   2000205E-02  .1095E+03  .5446E+01   .9999291  .0113651  .0035418
T    6  1 .9099197E+06   2000019E-02  .1538E+02  .7858E+02   .9997869  .0079717  .0190437
T    7  1 .9041622E+06   2000120E-02 -.9691E+02  .1681E+03   .9999045 -.0061968  .0123528
T    8  1 .9035157E+06   2000170E-02 -.3153E+02  .6486E+02   .9999581 -.0007972  .0091162
T    9  1 .9008046E+06   2000106E-02  .5468E+01 -.2341E+02   .9998459 -.0152031 -.0087790
T   10  1 .9038826E+06   2000223E-02 -.5185E+02  .5865E+02   .9998192  .0078688  .0173103
T   11  1 .9033874E+06   2000040E-02  .1519E+03  .1894E+02   .9998152  .0191658  .0014995
T   12  1 .9142786E+06   2000090E-02  .3905E+01 -.1681E+03   .9997724 -.0058383 -.0205175
T   13  1 .9060577E+06   2000212E-02 -.1898E+02 -.1081E+03   .9998926 -.0140582 -.0041322
T   14  1 .9123000E+06   2000087E-02 -.2010E+03  .3196E+03   .9996457 -.0075765  .0255153
T   15  1 .9085001E+06   2000030E-02 -.4374E+02  .6262E+02   .9999347 -.0000255  .0114315
T   16  1 .8990246E+06   2000004E-02  .7367E+02  .7945E+02   .9999105  .0130264 -.0030471
T   17  1 .9132426E+06   2000029E-02  .2147E+03  .1508E+03   .9997146  .0238221  .0018186
T   18  1 .9067492E+06   2000204E-02 -.4291E+02  .4137E+02   .9999920  .0030761  .0025449
T   19  1 .9165934E+06   2000112E-02  .1234E+03 -.1642E+03   .9996663 -.0012939 -.0257994
T   20  1 .8997320E+06   2000179E-02 -.7226E+02 -.1498E+03   .9998375 -.0161724 -.0079604
T   21  1 .9006248E+06   2000064E-02  .4816E+02 -.2007E+02   .9997276  .0222724  .0069817
T   22  1 .9025497E+06   2000183E-02 -.1232E+03 -.9801E+02   .9996670 -.0217606 -.0138731
T   23  1 .9005637E+06   2000065E-02  .3518E+02  .7562E+02   .9999296 -.0092048  .0074837
T   24  1 .9161243E+06   2000163E-02  .3957E+02 -.7337E+02   .9999717  .0039221  .0064231
T   25  1 .9022794E+06   2000053E-02 -.1278E+03  .3713E+02   .9999080 -.0103313  .0087914
T   26  1 .9111496E+06   2000238E-02  .2109E+03  .1057E+03   .9993751  .0330643  .0124944
T   27  1 .9090179E+06   2000046E-02  .8234E+01  .6075E+02   .9987328 -.0016131  .0503020
T   28  1 .9181011E+06   2000085E-02 -.3716E+02  .1439E+03   .9993090 -.0291358  .0230797
T   29  1 .9075696E+06   2000163E-02 -.8907E+00  .7514E+02   .9999903  .0043129  .0008781
T   30  1 .8987395E+06   2000204E-02  .1348E+03 -.2731E+03   .9993848  .0171409 -.0305972
T   31  1 .9145179E+06   2000185E-02  .1239E+02  .4619E+02   .9999454  .0103636 -.0013140
T   32  1 .9001219E+06   2000224E-02  .7971E+02 -.2831E+02   .9998818  .0126845 -.0086871
T   33  1 .9152265E+06   2000089E-02 -.6998E+02 -.1452E+02   .9999828 -.0048853  .0032409
T   34  1 .9095171E+06   2000175E-02 -.1286E+03  .1594E+02   .9999440 -.0090623 -.0054689
T   35  1 .9128276E+06   2000081E-02  .1703E+03 -.3985E+02   .9995575  .0274280 -.0115119
T   36  1 .9103010E+06   2000187E-02  .5415E+02  .1990E+02   .9999932  .0000274  .0036857
T   37  1 .9106537E+06   2000019E-02 -.1735E+03 -.9594E+02   .9997913 -.0107298 -.0173846
T   38  1 .9057150E+06   2000243E-02 -.1022E+02 -.1126E+03   .9999811  .0043354 -.0043701
T   39  1 .9117105E+06   2000138E-02  .4055E+02  .3279E+02   .9999604  .0083049  .0032054
T   40  1 .9132480E+06   2000113E-02 -.3412E+03 -.4329E+03   .9802053 -.1550113 -.1231626
T   41  1 .9060103E+06   2000081E-02  .1409E+03 -.8987E+02   .9996771  .0026644 -.0252700
T   42  1 .9057507E+06   2000171E-02 -.8038E+01  .1030E+03   .9999970 -.0024428  .0003460
T   43  1 .9118267E+06   2000178E-02  .4532E+00  .8250E+02   .9999100 -.0090767  .0098748
T   44  1 .9226828E+06   2000175E-02 -.1904E+03  .8201E+02   .9998865 -.0133942  .0068978
T   45  1 .9141196E+06   2000079E-02  .2326E+02  .2415E+01   .9998875  .0149254 -.0014736
T   46  1 .9071654E+06   2000198E-02 -.6159E+02  .1161E+02   .9999897 -.0040288 -.0020711
T   47  1 .9082852E+06   2000075E-02 -.1381E+03  .3767E+02   .9998568 -.0167649 -.0023225
T   48  1 .9042207E+06   2000003E-02 -.6329E+02  .1590E+03   .9996804  .0061003  .0245315
T   49  1 .9081588E+06   2000144E-02 -.9599E+02  .1826E+03   .9998420 -.0132700  .0118291
T   50  1 .9045597E+06   2000226E-02  .5846E+01 -.1227E+03   .9998774  .0020174 -.0155280
T   51  1 .8985507E+06   2000236E-02  .1810E+03 -.1606E+03   .9997329  .0090106 -.0212823
T   52  1 .9020794E+06   2000052E-02  .2174E+02 -.5494E+02   .9999400  .0092662 -.0058468
T   53  1 .9193088E+06   2000226E-02  .2282E+02  .4780E+01   .9995869 -.0271872 -.0093262
T   54  1 .9096449E+06   2000225E-02  .1386E+03  .5951E+03   .9986146  .0195703  .0488454
T   55  1 .9142009E+06   2000080E-02  .9983E+02 -.2141E+02   .9997684  .0206083 -.0061955
T   56  1 .9143298E+06   2000199E-02  .2468E+02 -.9497E+02   .9996479  .0068179 -.0256431
T   57  1 .9066295E+06   2000127E-02  .1362E+03  .1023E+03   .9995816  .0234685  .0169049
T   58  1 .9156969E+06   2000126E-02  .2789E+03 -.1191E+03   .9992844  .0343511 -.0158305
T   59  1 .9087751E+06   2000147E-02 -.1216E+00 -.7277E+02   .9999464  .0080252  .0065452
T   60  1 .9034952E+06   2000148E-02  .3767E+02  .9379E+02   .9999359  .0065759  .0092163
T   61  1 .9156209E+06   2000079E-02  .2027E+03  .7445E+02   .9998699  .0097182  .0128760
T   62  1 .9079509E+06   2000187E-02  .8446E+02  .1988E+02   .9998362  .0108060  .0145208
T   63  1 .9218164E+06   2000163E-02  .7283E+02  .3981E+02   .9999355 -.0040737  .0106059
T   64  1 .9176326E+06   2000006E-02  .2699E+02  .1291E+03   .9998906  .0117316  .0090107
T   65  1 .9123876E+06   2000167E-02  .2847E+02 -.1029E+03   .9998430  .0033280 -.0174050
T   66  1 .9181759E+06   2000042E-02 -.7846E+02 -.7152E+02   .9998043  .0076992 -.0182207
T   67  1 .9106843E+06   2000125E-02  .6171E+02 -.1124E+02   .9999665  .0047736 -.0066457
T   68  1 .9071853E+06   2000233E-02  .2434E+03  .1838E+03   .9990948  .0290380  .0310862
T   69  1 .9050929E+06   2000188E-02  .1033E+03 -.1606E+03   .9998311 -.0070060 -.0169885
T   70  1 .9110664E+06   2000047E-02 -.9728E+02 -.3204E+02   .9999779 -.0029774 -.0059473
T   71  1 .9132392E+06   2000242E-02  .5067E+02 -.9736E+01   .9998931  .0107895 -.0098642
T   72  1 .9104742E+06   2000149E-02  .6851E+02  .8257E+02   .9998895  .0099194  .0110684
T   73  1 .9082304E+06   2000147E-02  .2870E+02  .1070E+03   .9999438  .0096863  .0043120
T   74  1 .9181697E+06   2000079E-02 -.3341E+02 -.1824E+03   .9992535 -.0147655 -.0356979
T   75  1 .9021302E+06   2000017E-02 -.2612E+03  .1333E+03   .9997356 -.0148916  .0175222
T   76  1 .8982445E+06   2000224E-02 -.9355E+02  .6315E+02   .9999438 -.0105623 -.0009466
T   77  1 .9071081E+06   2000052E-02 -.4277E+02  .1005E+03   .9998587 -.0101788  .0133805
T   78  1 .9108212E+06   2000193E-02 -.5575E+02 -.4587E+02   .9998911  .0007394 -.0147363
T   79  1 .9142201E+06   2000003E-02 -.7984E+02 -.3681E+02   .9997018 -.0162502 -.0182263
T   80  1 .9115734E+06   2000106E-02  .5069E-01 -.4103E+02   .9998366 -.0176394 -.0039526
T   81  1 .9110279E+06   2000235E-02 -.5123E+02  .1483E+03   .9999110 -.0045789  .0125329
T   82  1 .9189956E+06   2000174E-02 -.7651E+02 -.1090E+03   .9999925  .0038427  .0005165
T   83  1 .9079657E+06   2000201E-02  .9024E+02  .1272E+02   .9997590  .0102241  .0194285
T   84  1 .9083880E+06   2000235E-02  .1543E+03  .1158E+03   .9998786  .0129272  .0087001
T   85  1 .9145025E+06   2000201E-02 -.2231E+02  .1804E+03   .9994124  .0043323  .0340018
T   86  1 .9081094E+06   2000231E-02 -.2249E+02  .2220E+03   .9996670 -.0113068  .0231976
T   87  1 .9166589E+06   2000117E-02  .1249E+03 -.7572E+02   .9997914  .0197379 -.0052509
T   88  1 .9149013E+06   2000156E-02  .1076E+02  .4606E+02   .9999818 -.0060042  .0005253
T   89  1 .9108740E+06   2000110E-02  .3884E+02 -.2455E+02   .9999964 -.0021003  .0016821
T   90  1 .9149468E+06   2000127E-02  .9088E+02  .4544E+02   .9995049  .0285978  .0131194
T   91  1 .9089102E+06   2000208E-02  .6964E+02  .5760E+02   .9998966  .0069455  .0125942
T   92  1 .9067369E+06   2000145E-02  .1046E+03  .5379E+02   .9998732  .0158012  .0019691
T   93  1 .9024566E+06   2000243E-02  .1163E+03  .4271E+01   .9999449  .0104332 -.0011290
T   94  1 .9114185E+06   2000150E-02 -.4904E+02  .7698E+02   .9998357 -.0177784  .0035269
