====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : SiO2 - quartz (ICRU-245)
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 6.975E22 atoms/cm3 = 2.32 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 53.2 Mass Percent
  Layer # 1- Si = 33.3 Atomic Percent = 46.7 Mass Percent
====================================================================
 Total Ions calculated =9999.09
 Total Target Vacancies     = 1 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  0000.00E+00  0000.00E+00  
400010.E-03  0000.00E+00  0000.00E+00  
600010.E-03  5000.46E-10  1799.94E-09  
800010.E-03  5000.46E-10  1687.71E-09  
100001.E-02  1000.09E-09  4155.35E-10  
120001.E-02  0000.00E+00  0000.00E+00  
140001.E-02  5000.46E-10  0000.00E+00  
160001.E-02  1000.09E-09  5537.70E-10  
180001.E-02  0000.00E+00  0000.00E+00  
200001.E-02  0000.00E+00  0000.00E+00  
220001.E-02  2500.23E-09  0000.00E+00  
240001.E-02  2000.18E-09  5519.71E-10  
260001.E-02  2500.23E-09  8968.30E-10  
280001.E-02  3000.27E-09  7045.92E-09  
300001.E-02  3000.27E-09  0000.00E+00  
320001.E-02  5000.45E-09  1770.94E-09  
340001.E-02  3500.32E-09  4107.38E-09  
360001.E-02  3000.27E-09  3221.74E-09  
380001.E-02  4500.41E-09  5006.66E-09  
400001.E-02  7000.64E-09  9746.78E-09  
420001.E-02  6500.59E-09  1327.22E-08  
440001.E-02  3500.32E-09  7984.25E-09  
460001.E-02  4000.36E-09  9393.50E-09  
480001.E-02  5000.45E-09  1989.28E-08  
500001.E-02  6500.59E-09  8258.47E-08  
520001.E-02  5000.45E-09  9619.41E-09  
540001.E-02  7500.68E-09  1716.06E-09  
560001.E-02  7000.64E-09  9970.79E-09  
580001.E-02  8000.73E-09  2683.24E-08  
600001.E-02  3000.27E-09  1425.68E-09  
620001.E-02  7000.64E-09  2906.57E-09  
640001.E-02  6500.59E-09  1234.01E-08  
660001.E-02  7000.64E-09  3461.55E-09  
680001.E-02  4500.41E-09  8562.32E-10  
700001.E-02  1000.09E-08  2205.56E-08  
720001.E-02  6500.59E-09  3049.13E-09  
740001.E-02  1150.10E-08  2036.54E-08  
760001.E-02  8500.77E-09  2799.56E-09  
780001.E-02  6500.59E-09  1500.98E-09  
800001.E-02  1250.11E-08  1845.17E-08  
820001.E-02  8000.73E-09  3115.20E-09  
840001.E-02  1100.10E-08  8257.35E-09  
860001.E-02  1050.10E-08  8298.54E-09  
880001.E-02  1300.12E-08  3625.92E-09  
900001.E-02  9500.87E-09  4795.44E-09  
920001.E-02  1250.11E-08  4110.01E-08  
940001.E-02  1000.09E-08  2976.51E-08  
960001.E-02  1150.10E-08  6226.18E-09  
980001.E-02  1250.11E-08  9913.96E-09  
100000.E-01  1150.10E-08  3521.70E-08  
102000.E-01  1150.10E-08  1272.30E-08  
104000.E-01  1600.15E-08  1398.37E-08  
106000.E-01  1000.09E-08  1717.29E-08  
108000.E-01  1650.15E-08  2593.44E-08  
110000.E-01  1700.15E-08  2222.57E-08  
112000.E-01  1150.10E-08  2344.29E-08  
114000.E-01  7500.68E-09  2305.89E-09  
116000.E-01  5500.50E-09  2004.19E-09  
118000.E-01  5000.45E-09  1363.03E-09  
120000.E-01  6000.55E-09  4686.70E-08  
122000.E-01  5000.45E-09  2126.03E-08  
124000.E-01  6500.59E-09  1866.83E-09  
126000.E-01  6000.55E-09  5685.15E-09  
128000.E-01  8000.73E-09  2601.87E-09  
130000.E-01  5500.50E-09  2712.33E-09  
132000.E-01  6000.55E-09  3867.51E-08  
134000.E-01  9500.87E-09  1048.91E-08  
136000.E-01  9000.82E-09  2477.79E-08  
138000.E-01  9000.82E-09  1362.00E-08  
140000.E-01  1100.10E-08  2308.82E-08  
142000.E-01  1250.11E-08  3388.68E-09  
144000.E-01  1450.13E-08  2322.11E-08  
146000.E-01  1350.12E-08  1240.67E-08  
148000.E-01  1300.12E-08  1314.74E-09  
150000.E-01  1550.14E-08  8584.18E-09  
152000.E-01  1500.14E-08  3334.39E-08  
154000.E-01  1000.09E-08  1015.52E-08  
156000.E-01  1200.11E-08  9935.96E-09  
158000.E-01  1150.10E-08  2548.73E-08  
160000.E-01  1500.14E-08  1932.15E-08  
162000.E-01  1250.11E-08  1421.75E-07  
164000.E-01  1650.15E-08  1265.72E-08  
166000.E-01  1550.14E-08  1777.04E-08  
168000.E-01  2050.19E-08  5402.31E-08  
170000.E-01  1400.13E-08  1700.63E-08  
172000.E-01  1750.16E-08  4926.70E-08  
174000.E-01  1400.13E-08  1090.26E-08  
176000.E-01  1450.13E-08  2235.46E-08  
178000.E-01  1450.13E-08  1742.49E-08  
180000.E-01  1700.15E-08  6973.49E-09  
182000.E-01  2200.20E-08  2944.07E-08  
184000.E-01  1900.17E-08  1575.83E-08  
186000.E-01  2100.19E-08  2798.78E-08  
188000.E-01  1800.16E-08  1269.06E-08  
190000.E-01  2350.21E-08  2420.93E-08  
192000.E-01  2200.20E-08  2649.89E-07  
194000.E-01  2250.20E-08  7451.16E-08  
196000.E-01  2750.25E-08  4776.44E-08  
198000.E-01  1850.17E-08  1081.66E-08  
200000.E-01  2400.22E-08  3683.32E-08  

 To convert to Energy Lost - multiply by Average Binding Energy =  2.5  eV/Vacancy
